rmsfrequency,freqcenter,rootvarfreq,peakpeak,crestfactor,marginfactor,kurtfactor,clearancefactor,impulsefactor,shapefactor,rms,stdev,peak,sra
9.4562944413648378,3.0759620559047436,8.9420334372234276,0.29913600000000001,11.501828495573964,20.644783526432601,115485436.80301706,20.644783526432601,16.463451442653554,11.501828495573964,0.016461295703796862,0.016428126162450034,0.189335,0.0091710818743913902
23.096727474226164,11.691904787841434,19.91878968337997,0.4173,5.6598674701004796,8.4248308774321092,1189851.4317775595,8.4248308774321092,7.1233126946872289,5.6598674701004796,0.040206241789608563,0.040204177432994322,0.22756199999999999,0.027010868622844207
27.360496770023179,12.894925743846937,24.131259261860382,0.432674,4.7340971448852986,6.9551948263009811,568321.80420661357,6.9551948263009811,5.9080271074961246,4.7340971448852986,0.047628511435090767,0.047608192694419321,0.22547800000000001,0.032418646153139781
21.816278626104705,9.4721205825687615,19.652708331451677,0.38738300000000003,5.1271199379512238,7.6068903690397152,1450787.2104547091,7.6068903690397152,6.4377314938953525,5.1271199379512238,0.037977266449086992,0.037894226742596987,0.194714,0.025597056162724802
20.794261006517356,10.466279785995432,17.968257518424863,0.35739799999999999,5.0608922995758192,7.5387621385801813,1812070.1680800279,7.5387621385801813,6.3714058616421543,5.0608922995758192,0.036198162133455114,0.036128971257745564,0.183195,0.024300408559448483
28.860092220616888,8.5630041813407782,27.560476816863158,0.39612199999999997,4.0444298864399801,5.9008358379064125,434255.09006713016,5.9008358379064125,5.0222931486208466,4.0444298864399801,0.050238972044302575,0.050174239296686712,0.20318800000000001,0.034433765924267792
23.934563796670115,8.4034437533014597,22.410833925179364,0.341864,4.4031489098201178,6.4170656079949762,945724.2579368623,6.4170656079949762,5.4700072005443561,4.4031489098201178,0.041664727620464408,0.041621307399265103,0.18345600000000001,0.02858876801437615
38.235188005665293,10.754058807327068,36.691685992839339,0.50611399999999995,3.9653288221071148,5.7174885339998234,134878.24653102571,5.7174885339998234,4.8860472261521819,3.9653288221071148,0.066558919030516292,0.06655406177017012,0.263928,0.046161526766606745
96.729228523401602,17.28583342555201,95.172178778866424,0.91648299999999994,2.7528510581281447,3.6288495570235426,2522.1603985681418,3.6288495570235426,3.215738046588962,2.7528510581281447,0.16838397363756774,0.1681734196342467,0.463536,0.12773635079548512
53.47778694483759,13.712161542148216,51.689944112559004,0.59773900000000002,3.3534144265981296,4.6654765210003495,31274.736177560186,4.6654765210003495,4.0437283853610166,3.3534144265981296,0.093092877970555488,0.09272790169043553,0.31217899999999998,0.066912564792645027
28.945249725897106,8.2672619288731006,27.739500029631966,0.40983700000000001,4.5578429490474717,6.6552190433328544,442465.43000091217,6.6552190433328544,5.6642225103675523,4.5578429490474717,0.050387212233364745,0.050372123334288615,0.229657,0.03450780485280474
127.37117201106803,24.869849441108151,124.91959833528797,1.50928,3.4975662297550274,4.8163106863733551,931.02130220255833,4.8163106863733551,4.1902596633761355,3.4975662297550274,0.22172475060016705,0.22172179141419923,0.77549699999999999,0.16101473731628041
31.120047692233257,10.060362914456428,29.449048650105865,0.44403300000000001,4.3006070714875779,6.2761811206607581,326086.82962969312,6.2761811206607581,5.3421190981924989,4.3006070714875779,0.054173049554934891,0.054166856993232385,0.23297699999999999,0.037120821646312224
24.446886328507514,8.2255260624125821,23.021532793355416,0.35300599999999999,4.1841721246126307,6.113433631049273,858535.61412488995,6.113433631049273,5.2009946408608512,4.1841721246126307,0.042556566674819843,0.041694819030159612,0.178064,0.029126675898735188
23.32542327933507,7.2946270102959581,22.155446010875227,0.35361799999999999,4.5667520747255335,6.6713531940051283,1043374.7506333287,6.6713531940051283,5.6777527109167503,4.5667520747255335,0.040604350086411146,0.039666173676140545,0.18543000000000001,0.027794960723504677
4.9497425819615026,1.0858528534139575,4.829169204782092,0.16236780000000001,13.782444759365253,21.110145629030988,925252470.8473258,21.110145629030988,17.716975832615002,13.782444759365253,0.0086163958625196206,0.0083493971796216229,0.118755,0.0056254941148623028
29.819350623595433,14.404919303086764,26.109231537609059,0.47916399999999998,4.7710768338412395,6.9357229864990799,384952.24831963691,6.9357229864990799,5.9132569464319671,4.7710768338412395,0.05190882658676569,0.051907335263725631,0.24766099999999999,0.035708029354991719
33.917313292387256,16.173475163819312,29.812796616541515,0.486705,4.1347867907002129,5.9302333478880636,219954.37923361539,5.9302333478880636,5.0831029068524636,4.1347867907002129,0.059042463942538072,0.059026179106663468,0.24412800000000001,0.04116667687063974
26.524342944876995,11.566172814735269,23.869738479445573,0.416912,4.6595675441256512,6.7811401613797209,617550.44216450152,6.7811401613797209,5.7800547482712927,4.6595675441256512,0.046172954456092395,0.046118394152600328,0.215146,0.031727112975087873
22.672664471877972,12.897432998439308,18.646874706103606,0.36677799999999999,4.680470239607553,6.9371228099921094,1253144.2961153311,6.9371228099921094,5.873402977097987,4.680470239607553,0.039468042855345477,0.039371290340571199,0.184729,0.026629051417962447
36.473649354501873,10.631319952827292,34.889857169323157,0.46625700000000003,4.2263749351686082,6.2455340487287154,176472.89897967727,6.2455340487287154,5.2922183556220803,4.2263749351686082,0.063492473837817379,0.063450162220331494,0.268343,0.042965581150681817
26.439020880667368,9.8080605046050149,24.552469820088813,0.39882499999999999,4.4651505688044422,6.589542239422558,645789.22338663682,6.589542239422558,5.5839839885138316,4.4651505688044422,0.046024427806703253,0.045992668568754197,0.20550599999999999,0.031186688321161515
